Name,Address,Location
"
ファミリーマート 上野六丁目南店
",東京都台東区上野6丁目7番2号,"{'lat': 35.709082, 'lng': 139.7759739}"
"
ファミリーマート 浅草橋三丁目店
",東京都台東区浅草橋3丁目1番9号 浅草橋金子ビル1F,"{'lat': 35.7002656, 'lng': 139.7878247}"
"
ファミリーマート 台東池之端店
",東京都台東区池之端2丁目1番42,"{'lat': 35.713447, 'lng': 139.7680404}"
"
ファミリーマート 上野中通り店
",東京都台東区上野4丁目2番4号,"{'lat': 35.7082935, 'lng': 139.7740029}"
"
ファミリーマート 京成上野駅店
",東京都台東区上野公園1-60,"{'lat': 35.7112744, 'lng': 139.7739677}"
"
ファミリーマート 上野六丁目店
",東京都台東区上野6丁目16-22,"{'lat': 35.7101852, 'lng': 139.776238}"
"
ファミリーマート 浅草橋駅前店
",東京都台東区浅草橋1丁目24-3,"{'lat': 35.6977005, 'lng': 139.7830349}"
"
ファミリーマート 台東鳥越店
",東京都台東区鳥越1丁目8-2,"{'lat': 35.70252869999999, 'lng': 139.7812835}"
"
ファミリーマート 台東寿二丁目店
",東京都台東区寿2-1-13,"{'lat': 35.7086665, 'lng': 139.7907843}"
"
ファミリーマート 台東三筋一丁目店
",東京都台東区三筋1丁目9-3,"{'lat': 35.7034742, 'lng': 139.7845938}"
"
ファミリーマート 浅草橋二丁目店
",東京都台東区浅草橋2丁目8-3,"{'lat': 35.699126, 'lng': 139.7831774}"
"
ファミリーマート 上野三丁目店
",東京都台東区上野3丁目23-11,"{'lat': 35.706349, 'lng': 139.7732939}"
"
ファミリーマート 西浅草一丁目店
",東京都台東区西浅草1丁目8-13,"{'lat': 35.7115072, 'lng': 139.7917803}"
"
ファミリーマート 浅草雷門通り店
",東京都台東区浅草1丁目5-3,"{'lat': 35.7114608, 'lng': 139.79418}"
"
ミニストップ 橋場店
",東京都台東区橋場1-32-6,"{'lat': 35.7260186, 'lng': 139.8055275}"
"
ミニストップ 下谷店
",東京都台東区下谷2-23-8,"{'lat': 35.722855, 'lng': 139.7852768}"
"
ミニストップ 入谷2丁目店
",東京都台東区入谷2-39-11,"{'lat': 35.7223939, 'lng': 139.7891759}"
"
ミニストップ 浅草橋1丁目店
",東京都台東区浅草橋1丁目27-5,"{'lat': 35.6982449, 'lng': 139.7848592}"
"
ミニストップ 台東3丁目店
",東京都台東区台東3-18-4,"{'lat': 35.7049208, 'lng': 139.7775398}"
"
ミニストップ 元浅草3丁目店
",東京都台東区元浅草3-22-8,"{'lat': 35.7085491, 'lng': 139.7878674}"
"
ミニストップ 東上野2丁目店
",東京都台東区東上野2丁目1番11号,"{'lat': 35.7093251, 'lng': 139.7821451}"
"
ミニストップ 東上野6丁目店
",東京都台東区東上野6丁目2-1,"{'lat': 35.7114274, 'lng': 139.7837052}"
"
ミニストップ 上野池之端店
",東京都台東区池之端1丁目4番22号,"{'lat': 35.7123554, 'lng': 139.7682131}"
"
ミニストップ 浅草駅北口店
",東京都台東区花川戸1丁目9番1号,"{'lat': 35.7127258, 'lng': 139.7986676}"
"
ミニストップ 西浅草2丁目店
",東京都台東区西浅草2丁目27番7,"{'lat': 35.7137614, 'lng': 139.7916286}"
